PLAYER_NAME,GAME_ID,GAME_DATE,TEAM,SEASON,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,OREB,DREB,PF,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT
Darius Garland,401809790,2025-11-22,CLE,2025-26,27.0,20.0,5.0,12.0,3.0,4.0,7.0,7.0,2.0,7.0,4.0,0.0,0.0,1.0,1.0,3.0,18.0,0.4166666666666667,0.75,1.0
Darius Garland,401810133,2025-11-23,CLE,2025-26,29.0,8.0,3.0,10.0,0.0,4.0,2.0,2.0,1.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,1.0
Darius Garland,401809811,2025-11-29,CLE,2025-26,33.0,15.0,6.0,14.0,1.0,3.0,2.0,2.0,5.0,10.0,5.0,1.0,0.0,1.0,4.0,2.0,-18.0,0.42857142857142855,0.3333333333333333,1.0
Darius Garland,401810157,2025-11-30,CLE,2025-26,31.0,21.0,7.0,16.0,4.0,9.0,3.0,5.0,3.0,8.0,4.0,0.0,0.0,1.0,2.0,1.0,-27.0,0.4375,0.4444444444444444,0.6
Darius Garland,401810179,2025-12-04,CLE,2025-26,29.0,6.0,2.0,13.0,1.0,8.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,-8.0,0.15384615384615385,0.125,0.5
De'Aaron Fox,401810043,2025-11-09,SA,2025-26,31.0,24.0,9.0,14.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,9.0,0.6428571428571429,0.4,0.8
De'Aaron Fox,401810057,2025-11-11,SA,2025-26,37.0,21.0,8.0,14.0,1.0,6.0,4.0,4.0,4.0,5.0,6.0,0.0,0.0,1.0,3.0,3.0,-3.0,0.5714285714285714,0.16666666666666666,1.0
De'Aaron Fox,401810075,2025-11-13,SA,2025-26,36.0,13.0,5.0,14.0,1.0,5.0,2.0,2.0,5.0,5.0,6.0,0.0,0.0,1.0,4.0,3.0,-2.0,0.35714285714285715,0.2,1.0
De'Aaron Fox,401809789,2025-11-15,SA,2025-26,33.0,24.0,10.0,22.0,4.0,8.0,0.0,0.0,4.0,10.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,0.45454545454545453,0.5,
De'Aaron Fox,401810089,2025-11-16,SA,2025-26,35.0,28.0,11.0,20.0,4.0,8.0,2.0,2.0,2.0,11.0,2.0,1.0,0.0,0.0,2.0,1.0,20.0,0.55,0.5,1.0
